id,region,ticker,date,value_usd
1531,china,gdp,2020-03-10,20524480000000.0
1532,china,gdp,2020-03-11,20524480000000.0
1533,china,gdp,2020-03-12,20524480000000.0
1534,china,gdp,2020-03-13,20524480000000.0
1535,china,gdp,2020-03-14,20524480000000.0
1536,china,gdp,2020-03-15,20524480000000.0
1537,china,gdp,2020-03-16,20524480000000.0
1538,china,gdp,2020-03-17,20524480000000.0
1539,china,gdp,2020-03-18,20524480000000.0
1540,china,gdp,2020-03-19,20524480000000.0
1541,china,gdp,2020-03-20,20524480000000.0
1542,china,gdp,2020-03-21,20524480000000.0
1543,china,gdp,2020-03-22,20524480000000.0
1544,china,gdp,2020-03-23,20524480000000.0
1545,china,gdp,2020-03-24,20524480000000.0
1546,china,gdp,2020-03-25,20524480000000.0
1547,china,gdp,2020-03-26,20524480000000.0
1548,china,gdp,2020-03-27,20524480000000.0
1549,china,gdp,2020-03-28,20524480000000.0
1550,china,gdp,2020-03-29,20524480000000.0
1551,china,gdp,2020-03-30,20524480000000.0
1552,china,gdp,2020-03-31,20524480000000.0
1553,china,gdp,2020-04-01,24834770000000.0
1554,china,gdp,2020-04-02,24834770000000.0
1555,china,gdp,2020-04-03,24834770000000.0
1556,china,gdp,2020-04-04,24834770000000.0
1557,china,gdp,2020-04-05,24834770000000.0
1558,china,gdp,2020-04-06,24834770000000.0
1559,china,gdp,2020-04-07,24834770000000.0
1560,china,gdp,2020-04-08,24834770000000.0
1561,china,gdp,2020-04-09,24834770000000.0
1562,china,gdp,2020-04-10,24834770000000.0
1563,china,gdp,2020-04-11,24834770000000.0
1564,china,gdp,2020-04-12,24834770000000.0
1565,china,gdp,2020-04-13,24834770000000.0
1566,china,gdp,2020-04-14,24834770000000.0
1567,china,gdp,2020-04-15,24834770000000.0
1568,china,gdp,2020-04-16,24834770000000.0
1569,china,gdp,2020-04-17,24834770000000.0
1570,china,gdp,2020-04-18,24834770000000.0
1571,china,gdp,2020-04-19,24834770000000.0
1572,china,gdp,2020-04-20,24834770000000.0
1573,china,gdp,2020-04-21,24834770000000.0
