id,region,ticker,date,Adj Close,price_usd,high_usd,low_usd,open_usd
2287,egypt,egx30,2022-04-05,,,,,
2288,egypt,egx30,2022-04-06,,,,,
2289,egypt,egx30,2022-04-07,,,,,
2290,egypt,egx30,2022-04-08,,,,,
2291,egypt,egx30,2022-04-09,,,,,
2292,egypt,egx30,2022-04-10,,,,,
2293,egypt,egx30,2022-04-11,,,,,
2294,egypt,egx30,2022-04-12,,,,,
2295,egypt,egx30,2022-04-13,,,,,
2296,egypt,egx30,2022-04-14,,,,,
2297,egypt,egx30,2022-04-15,,,,,
2298,egypt,egx30,2022-04-16,,,,,
2299,egypt,egx30,2022-04-17,,,,,
2300,egypt,egx30,2022-04-18,,,,,
2301,egypt,egx30,2022-04-19,,,,,
2302,egypt,egx30,2022-04-20,,,,,
2303,egypt,egx30,2022-04-21,,,,,
2304,egypt,egx30,2022-04-22,,,,,
2305,egypt,egx30,2022-04-23,,,,,
2306,egypt,egx30,2022-04-24,,,,,
2307,egypt,egx30,2022-04-25,,,,,
2308,egypt,egx30,2022-04-26,,,,,
2309,egypt,egx30,2022-04-27,,,,,
2310,egypt,egx30,2022-04-28,,,,,
2311,egypt,egx30,2022-04-29,,,,,
2312,egypt,egx30,2022-04-30,,,,,
2313,egypt,egx30,2022-05-01,,,,,
2314,egypt,egx30,2022-05-02,,,,,
2315,egypt,egx30,2022-05-03,,,,,
2316,egypt,egx30,2022-05-04,,,,,
2317,egypt,egx30,2022-05-05,,,,,
2318,egypt,egx30,2022-05-06,,,,,
2319,egypt,egx30,2022-05-07,,,,,
2320,egypt,egx30,2022-05-08,,,,,
2321,egypt,egx30,2022-05-09,,,,,
2322,egypt,egx30,2022-05-10,,,,,
2323,egypt,egx30,2022-05-11,,,,,
2324,egypt,egx30,2022-05-12,,,,,
2325,egypt,egx30,2022-05-13,,,,,
2326,egypt,egx30,2022-05-14,,,,,
2327,egypt,egx30,2022-05-15,,,,,
2328,egypt,egx30,2022-05-16,,,,,
2329,egypt,egx30,2022-05-17,,,,,
2330,egypt,egx30,2022-05-18,,,,,
2331,egypt,egx30,2022-05-19,,,,,
2332,egypt,egx30,2022-05-20,,,,,
2333,egypt,egx30,2022-05-21,,,,,
2334,egypt,egx30,2022-05-22,,,,,
2335,egypt,egx30,2022-05-23,,,,,
2336,egypt,egx30,2022-05-24,,,,,
2337,egypt,egx30,2022-05-25,,,,,
2338,egypt,egx30,2022-05-26,,,,,
2339,egypt,egx30,2022-05-27,,,,,
2340,egypt,egx30,2022-05-28,,,,,
2341,egypt,egx30,2022-05-29,,,,,
2342,egypt,egx30,2022-05-30,,,,,
2343,egypt,egx30,2022-05-31,,,,,
2344,egypt,egx30,2022-06-01,,,,,
2345,egypt,egx30,2022-06-02,,,,,
2346,egypt,egx30,2022-06-03,,,,,
2347,egypt,egx30,2022-06-04,,,,,
2348,egypt,egx30,2022-06-05,,,,,
2349,egypt,egx30,2022-06-06,,,,,
2350,egypt,egx30,2022-06-07,,,,,
2351,egypt,egx30,2022-06-08,,,,,
2352,egypt,egx30,2022-06-09,,,,,
2353,egypt,egx30,2022-06-10,,,,,
2354,egypt,egx30,2022-06-11,,,,,
2355,egypt,egx30,2022-06-12,,,,,
