id,country,date,ticker,value_in_egp
9507,egypt,2022-07-04,open_price_egp,"34,088.73"
9508,egypt,2022-07-04,low_price_egp,"33,946.85"
9509,egypt,2022-07-05,low_price_egp,"33,266.32"
9510,egypt,2022-07-05,price_oz_egp,"33,172.38"
9511,egypt,2022-07-05,open_price_egp,"34,121.80"
9512,egypt,2022-07-05,high_price_egp,"34,191.93"
9513,egypt,2022-07-06,price_oz_egp,"32,775.38"
9514,egypt,2022-07-06,low_price_egp,"32,704.12"
9515,egypt,2022-07-06,high_price_egp,"33,501.39"
9516,egypt,2022-07-06,open_price_egp,"33,285.12"
9517,egypt,2022-07-07,high_price_egp,"33,065.60"
9518,egypt,2022-07-07,low_price_egp,"32,757.92"
9519,egypt,2022-07-07,open_price_egp,"32,843.98"
9520,egypt,2022-07-07,price_oz_egp,"32,800.09"
9521,egypt,2022-07-08,high_price_egp,"33,052.09"
9522,egypt,2022-07-08,price_oz_egp,"32,805.42"
9523,egypt,2022-07-08,low_price_egp,"32,689.01"
9524,egypt,2022-07-08,open_price_egp,"32,862.10"
9525,egypt,2022-07-09,high_price_egp,"32,909.11"
9526,egypt,2022-07-09,open_price_egp,"32,870.35"
9527,egypt,2022-07-09,low_price_egp,"32,681.49"
9528,egypt,2022-07-09,price_oz_egp,"32,677.04"
9529,egypt,2022-07-10,open_price_egp,"32,870.35"
9530,egypt,2022-07-10,low_price_egp,"32,681.49"
9531,egypt,2022-07-10,price_oz_egp,"32,677.04"
9532,egypt,2022-07-10,high_price_egp,"32,909.11"
9533,egypt,2022-07-11,price_oz_egp,"32,677.04"
9534,egypt,2022-07-11,low_price_egp,"32,681.49"
9535,egypt,2022-07-11,open_price_egp,"32,870.35"
9536,egypt,2022-07-11,high_price_egp,"32,909.11"
9537,egypt,2022-07-12,open_price_egp,"32,738.41"
9538,egypt,2022-07-12,high_price_egp,"32,917.20"
9539,egypt,2022-07-12,low_price_egp,"32,528.94"
9540,egypt,2022-07-12,price_oz_egp,"32,529.26"
9541,egypt,2022-07-13,open_price_egp,"32,579.83"
9542,egypt,2022-07-13,high_price_egp,"32,946.99"
9543,egypt,2022-07-13,price_oz_egp,"32,687.21"
9544,egypt,2022-07-13,low_price_egp,"32,226.72"
9545,egypt,2022-07-14,price_oz_egp,"32,220.12"
9546,egypt,2022-07-14,low_price_egp,"32,040.05"
9547,egypt,2022-07-14,high_price_egp,"32,784.71"
9548,egypt,2022-07-14,open_price_egp,"32,757.67"
9549,egypt,2022-07-15,price_oz_egp,"32,185.14"
9550,egypt,2022-07-15,high_price_egp,"32,415.47"
9551,egypt,2022-07-15,open_price_egp,"32,283.59"
9552,egypt,2022-07-15,low_price_egp,"32,073.73"
9553,egypt,2022-07-16,open_price_egp,"32,211.87"
9554,egypt,2022-07-16,high_price_egp,"32,589.24"
9555,egypt,2022-07-16,price_oz_egp,"32,301.87"
9556,egypt,2022-07-16,low_price_egp,"32,173.18"
9557,egypt,2022-07-17,low_price_egp,"32,173.18"
9558,egypt,2022-07-17,open_price_egp,"32,211.87"
9559,egypt,2022-07-17,price_oz_egp,"32,301.87"
9560,egypt,2022-07-17,high_price_egp,"32,589.24"
9561,egypt,2022-07-18,low_price_egp,"32,173.18"
9562,egypt,2022-07-18,high_price_egp,"32,589.24"
9563,egypt,2022-07-18,open_price_egp,"32,211.87"
9564,egypt,2022-07-18,price_oz_egp,"32,301.87"
9565,egypt,2022-07-19,high_price_egp,"32,537.93"
9566,egypt,2022-07-19,price_oz_egp,"32,263.80"
9567,egypt,2022-07-19,low_price_egp,"32,210.30"
9568,egypt,2022-07-19,open_price_egp,"32,335.28"
9569,egypt,2022-07-20,open_price_egp,"32,368.30"
9570,egypt,2022-07-20,high_price_egp,"32,490.68"
9571,egypt,2022-07-20,price_oz_egp,"32,127.73"
9572,egypt,2022-07-20,low_price_egp,"32,073.51"
9573,egypt,2022-07-21,open_price_egp,"32,152.38"
9574,egypt,2022-07-21,price_oz_egp,"32,408.48"
9575,egypt,2022-07-21,low_price_egp,"31,784.36"
9576,egypt,2022-07-21,high_price_egp,"32,588.25"
9577,egypt,2022-07-22,high_price_egp,"32,907.27"
9578,egypt,2022-07-22,open_price_egp,"32,516.45"
9579,egypt,2022-07-22,low_price_egp,"32,408.63"
9580,egypt,2022-07-22,price_oz_egp,"32,575.09"
9581,egypt,2022-07-23,price_oz_egp,"32,579.65"
9582,egypt,2022-07-23,high_price_egp,"32,913.94"
9583,egypt,2022-07-23,low_price_egp,"32,439.78"
9584,egypt,2022-07-23,open_price_egp,"32,765.64"
9585,egypt,2022-07-24,high_price_egp,"32,913.94"
9586,egypt,2022-07-24,price_oz_egp,"32,579.65"
9587,egypt,2022-07-24,low_price_egp,"32,439.78"
9588,egypt,2022-07-24,open_price_egp,"32,765.64"
9589,egypt,2022-07-25,price_oz_egp,"32,579.65"
9590,egypt,2022-07-25,open_price_egp,"32,765.64"
9591,egypt,2022-07-25,low_price_egp,"32,439.78"
9592,egypt,2022-07-25,high_price_egp,"32,913.94"
9593,egypt,2022-07-26,low_price_egp,"32,413.78"
9594,egypt,2022-07-26,high_price_egp,"32,769.73"
9595,egypt,2022-07-26,open_price_egp,"32,608.27"
9596,egypt,2022-07-26,price_oz_egp,"32,531.28"
9597,egypt,2022-07-27,low_price_egp,"32,380.93"
9598,egypt,2022-07-27,high_price_egp,"32,966.98"
9599,egypt,2022-07-27,price_oz_egp,"32,788.46"
9600,egypt,2022-07-27,open_price_egp,"32,563.71"
9601,egypt,2022-07-28,price_oz_egp,"33,124.21"
9602,egypt,2022-07-28,open_price_egp,"32,850.02"
9603,egypt,2022-07-28,low_price_egp,"32,834.21"
9604,egypt,2022-07-28,high_price_egp,"33,313.58"
9605,egypt,2022-07-29,open_price_egp,"33,221.37"
9606,egypt,2022-07-29,price_oz_egp,"33,316.61"
9607,egypt,2022-07-29,low_price_egp,"33,151.37"
